CH_EN_2
HP_BYPASS_EN_2
SENSOR_2
COND_EN_2
VRPS_12
T_VRPS_M_12
COND_EN_1
T_VRPS_C_12
SENSOR_1
HP_BYPASS_EN_1
CH_EN_1
CH_OUTPUT_1
VDD_12
VSS_1
GND_12
IREF_EN_12
IREF_REXT_12
IREF_TEST_12
IREF_IBX_12
NO_CONNEC_1
NO_CONNEC_2
SPFET_2_VD
SPFET_1_VD
SNFET_5_VS
SNFET_5_VD
SNFET_5_VB
SPFET_1_VB
SPFET_2_VB
DIFF_PFET_SHARED_VD
SNFET_3_VD
VSS_2
SNFET_4_VD
DIFF_PFET_SHARED_VB
VDD_IT_1
SNFET_SHARED_VS
SNFET_2_VD
VSS_3
SNFET_1_VD
SNFET_SHARED_VB
DIFF_NFET_3_SHARED_VD
DIFF_NFET_2_SHARED_VD
DIFF_NFET_1_SHARED_VD
DIFF_NFET_1_VSN
DIFF_NFET_1_VSP
DIFF_NFET_1_SHARED_VB
DIFF_NFET_2_SHARED_VB
DIFF_NFET_3_SHARED_VB
NO_CONNEC_3
NO_CONNEC_4
IREF_IBX_56
IREF_TEST_56
IREF_REXT_56
IREF_EN_56
GND_56
VSS_4
VDD_56
CH_OUTPUT_5
CH_EN_5
HP_BYPASS_EN_5
SENSOR_5
T_VRPS_C_56
COND_EN_5
T_VRPS_M_56
VRPS_56
COND_EN_6
SENSOR_6
HP_BYPASS_EN_6
CH_EN_6
CH_OUTPUT_6
NO_CONNEC_5
NO_CONNEC_6
IREF_IBX_78
IREF_TEST_78
IREF_REXT_78
IREF_EN_78
GND_78
VSS_5
VDD_78
CH_OUTPUT_7
CH_EN_7
HP_BYPASS_EN_7
SENSOR_7
T_VRPS_C_78
COND_EN_7
VRPS_78
T_VRPS_M_78
COND_EN_8
SENSOR_8
HP_BYPASS_EN_8
CH_EN_8
CH_OUTPUT_8
NO_CONNEC_7
NO_CONNEC_8
GND_D
CH_EN_D
HP_BYPASS_EN_D
SENSOR_D
IREF_TEST_D
VSS_6
VDD_D_1
IREF_IBX_D
IREF_REXT_D
T_VRPS_C_D
IREF_EN_D
COND_EN_D
TEST_EN_D
TIA_C_OUT_BUF
TIA_M_OUT_BUF
HPF_OUT_BUF
CH_OUTPUT_D
VRPS_D
T_VRPS_M_D
VSS_7
VDD_D_2
NO_CONNEC_9
NO_CONNEC_10
DIFF_NFET_2_VSP
DIFF_NFET_2_VSN
DIFF_NFET_3_VSN
DIFF_NFET_3_VSP
VSS_8
VDD_IT_2
DIFF_PFET_VSN
DIFF_PFET_VSP
SPFET_2_VS
SPFET_1_VS
NO_CONNEC_11
NO_CONNEC_12
GND_PR
VOUT_PR
IIN_PR
VSS_9
VDD_PR
VDC_PR
SEL3_PR
SEL2_PR
SEL1_PR
IBX_PR
REXT_PR
IREF_SWITCH_PR
IREF_OFF_CHIP_PR
NO_CONNEC_15
NO_CONNEC_16
NO_CONNEC_17
NO_CONNEC_18
NO_CONNEC_19
NO_CONNEC_20
NO_CONNEC_21
NO_CONNEC_22
NO_CONNEC_23
NO_CONNEC_24
NO_CONNEC_25
NO_CONNEC_26
NO_CONNEC_27
NO_CONNEC_28
NO_CONNEC_29
NO_CONNEC_30
NO_CONNEC_31
NO_CONNEC_32
NO_CONNEC_33
NO_CONNEC_34
SH_EN_DNA
IB_SEL_LP_DNA<1>
IB_SEL_LP_DNA<0>
VBGX_PR_LP_DNA
IBX_PR_LP_DNA
DLP_DNA<0>
DLP_DNA<1>
DLP_DNA<2>
DLP_DNA<3>
DLP_DNA<4>
DLP_DNA<5>
DLP_DNA<6>
DLP_DNA<7>
DLP_DNA<8>
DLP_DNA<9>
TSTEN_DNA
VSN_DNA
VSP_DNA
IBX_OPA_DNA
IBX_IN_DIFF_DNA
REXT_IN_DIFF_DNA
REXT_OPA_DNA
IREF_EN_DNA
IA_EN_DNA
TIA_TST_DNA
TIASW_DNA<0>
TIASW_DNA<1>
TIA_EN_DNA
DHP_DNA<9>
DHP_DNA<8>
DHP_DNA<7>
DHP_DNA<6>
VSS_10
VDD_DNA_1
DHP_DNA<5>
DHP_DNA<4>
DHP_DNA<3>
DHP_DNA<2>
DHP_DNA<1>
DHP_DNA<0>
IBX_PR_HP_DNA
VBGX_PR_HP_DNA
IB_SEL_HP_DNA<0>
IB_SEL_HP_DNA<1>
VSUB_TIA_DNA
VCM_TIA_DNA
VSS_11
VDD_DNA_2
VCM_LP_DNA
VCM_HP2_DNA
VCM_HP1_DNA
LPO_DNA
HP2O_DNA
HP1O_DNA
NO_CONNEC_35
NO_CONNEC_36
CH_OUTPUT_4
CH_EN_4
HP_BYPASS_EN_4
SENSOR_4
COND_EN_4
T_VRPS_M_34
VRPS_34
COND_EN_3
T_VRPS_C_34
SENSOR_3
HP_BYPASS_EN_3
CH_EN_3
CH_OUTPUT_3
VDD_34
VSS_12
GND_34
IREF_EN_34
IREF_REXT_34
IREF_TEST_34
IREF_IBX_34
NO_CONNEC_37
NO_CONNEC_38
CH_OUTPUT_2
